Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
C3: Min (node 4633) → C2: Min (node 4665) in NEF (0.99986300),1.38497670,1.12626530,-0.25871140,-18.67983772,18.38238300,13.38341800,-4.99896500,-27.19432513,
C3: Min (node 47) → C2: Min (node 4072) in NEF (0.99999969),1.49177100,1.69865310,0.20688210,13.86822106,24.00829600,26.92834600,2.92005000,12.16267077,
C4: Min (node 2167) → C1: Min (node 4340) in NEF (0.99999161),1.95031480,1.83166410,-0.11865070,-6.08366916,35.13390200,34.47488800,-0.65901400,-1.87572106,
C4: Min (node 3369) → C1: Min (node 3390) in NEF (0.99999451),1.02353060,1.13377870,0.11024810,10.77135359,11.39991000,13.01611700,1.61620700,14.17736631,
C4: Min (node 4251) → C1: Min (node 2133) in NEF (0.99999836),1.11687560,1.28221570,0.16534010,14.80380626,14.27738100,16.67273100,2.39535000,16.77723667,
C4: Min (node 819) → C1: Min (node 2804) in NEF (0.99999443),1.91857710,1.79026840,-0.12830870,-6.68770101,34.66096100,33.58396800,-1.07699300,-3.10722198,
H1: Min (node 4664) → H5: Min (node 4667) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H2: Min (node 2921) → H6: Min (node 1028) in NEF (0.99999896),0.88653743,0.94851679,0.06197936,6.99117239,43.82786300,47.82446300,3.99660000,9.11885665,
H3: Min (node 4249) → H4: Min (node 1877) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H4: Min (node 4249) → H4: Min (node 1877) in NEF (0.99999923),1.01126230,0.94551411,-0.06574819,-6.50159607,52.69499600,47.80125100,-4.89374500,-9.28692546,
H5: Min (node 4664) → H5: Min (node 4667) in NEF (1.00000000),0.93272440,0.93725702,0.00453262,0.48595491,47.65279300,48.00074700,0.34795400,0.73018595,
H6: Min (node 2921) → H6: Min (node 1028) in NEF (0.99999896),0.88653743,0.94851679,0.06197936,6.99117239,43.82786300,47.82446300,3.99660000,9.11885665,
Total,29.76556866,29.76634444,0.00077578,0.00260630,650.85455200,650.31835000,-0.53620200,-0.08238431,
Max basin decomposition according to INS: Kinetic Energy Density SCF
C1: Max (node 6112) → C1: Max (node 6148) in NEF (0.99999712),2.27675270,2.37808240,0.10132970,4.45062391,34.02719600,36.48029300,2.45309700,7.20922464,
C1: Max (node 6130) → C1: Max (node 6172) in NEF (0.99999986),1.90648850,1.85456330,-0.05192520,-2.72360415,31.10647800,30.57130900,-0.53516900,-1.72044228,
