Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
C4: Min (node 2150) → C1: Min (node 4340) in NEF (0.99999814),1.61368250,1.83166410,0.21798160,13.50833265,31.10433400,34.47488800,3.37055400,10.83628410,
C4: Min (node 3548) → C1: Min (node 2133) in NEF (0.99999132),1.27934860,1.28221570,0.00286710,0.22410624,16.14041800,16.67273100,0.53231300,3.29801248,
C4: Min (node 4251) → C1: Min (node 3390) in NEF (0.99959323),1.33250520,1.13377870,-0.19872650,-14.91375043,18.15832600,13.01611700,-5.14220900,-28.31873929,
C4: Min (node 790) → C1: Min (node 2804) in NEF (0.99998703),1.81276480,1.79026840,-0.02249640,-1.24099938,32.59550100,33.58396800,0.98846700,3.03252587,
H1: Min (node 4814) → H5: Min (node 4667) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H2: Min (node 2934) → H6: Min (node 1028) in NEF (1.00000000),0.94771464,0.94851679,0.00080215,0.08464046,47.82452400,47.82446300,-0.00006100,-0.00012755,
H3: Min (node 4345) → H4: Min (node 1877) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H4: Min (node 4345) → H4: Min (node 1877) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H5: Min (node 4814) → H5: Min (node 4667) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H6: Min (node 2934) → H6: Min (node 1028) in NEF (1.00000000),0.94771464,0.94851679,0.00080215,0.08464046,47.82452400,47.82446300,-0.00006100,-0.00012755,
Total,29.76472390,29.76634444,0.00162054,0.00544450,651.43534000,650.31835000,-1.11699000,-0.17146598,
Max basin decomposition according to INS: Kinetic Energy Density SCF
C1: Max (node 6096) → C1: Max (node 6148) in NEF (0.99999965),2.37765260,2.37808240,0.00042980,0.01807665,36.75488000,36.48029300,-0.27458700,-0.74707631,
C1: Max (node 6126) → C1: Max (node 6172) in NEF (0.99999998),1.82723890,1.85456330,0.02732440,1.49539286,30.09872200,30.57130900,0.47258700,1.57012314,
C1: Max (node 6148) → C1: Max (node 6192) in NEF (0.99999994),1.83340950,1.80528120,-0.02812830,-1.53420717,31.14497800,30.69610200,-0.44887600,-1.44124680,
C2: Max (node 6110) → C2: Max (node 6158) in NEF (0.99999999),1.84957790,1.83768660,-0.01189130,-0.64291966,21.86828100,21.68187800,-0.18640300,-0.85238982,
C2: Max (node 6132) → C2: Max (node 6118) in NEF (0.99999997),1.80740890,1.81467550,0.00726660,0.40204516,27.93103400,27.95960300,0.02856900,0.10228408,
C2: Max (node 6166) → C2: Max (node 6134) in NEF (0.99999981),2.35850720,2.36159510,0.00308790,0.13092604,34.30989100,34.14353000,-0.16636100,-0.48487767,
