Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
H2: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999999),0.94875738,0.94851679,-0.00024059,-0.02535843,48.16931300,47.82446300,-0.34485000,-0.71591222,
H3: Max (node 5452) → H4: Max (node 5462) in NEF (0.99999988),0.96974158,0.94551411,-0.02422747,-2.49834291,49.52828900,47.80125100,-1.72703800,-3.48697287,
H4: Max (node 5466) → H4: Max (node 5462) in NEF (0.99999982),0.91873400,0.94551411,0.02678011,2.91489267,46.05293500,47.80125100,1.74831600,3.79631830,
H5: Max (node 5464) → H5: Max (node 5486) in NEF (0.99999818),0.85828249,0.93725702,0.07897453,9.20146116,42.79385500,48.00074700,5.20689200,12.16738244,
H6: Max (node 5460) → H6: Max (node 5470) in NEF (1.00000000),0.94468449,0.94851679,0.00383230,0.40566983,47.39990400,47.82446300,0.42455900,0.89569591,
Total,29.76381764,29.76634424,0.00252660,0.00848883,651.85080500,650.31835200,-1.53245300,-0.23509260,
Min basin decomposition according to INS: Electron Density SCF
C1: Min (node 2120) → C1: Min (node 4340) in NEF (0.99996567),2.01595730,1.83166410,-0.18429320,-9.14172140,34.84124700,34.47488800,-0.36635900,-1.05150944,
C1: Min (node 3373) → C1: Min (node 3390) in NEF (0.99998261),0.83587636,1.13377870,0.29790234,35.63952209,9.47901010,13.01611700,3.53710690,37.31515066,
C1: Min (node 4248) → C1: Min (node 2133) in NEF (0.99994246),0.99992758,1.28221570,0.28228812,28.23085648,11.89941400,16.67273100,4.77331700,40.11388292,
C1: Min (node 817) → C1: Min (node 2804) in NEF (0.99998358),2.13342200,1.79026840,-0.34315360,-16.08465648,37.31613500,33.58396800,-3.73216700,-10.00148327,
C2: Min (node 1566) → C2: Min (node 4072) in NEF (0.99999780),1.63619970,1.69865310,0.06245340,3.81697906,26.46387800,26.92834600,0.46446800,1.75510180,
C2: Min (node 2898) → C2: Min (node 19) in NEF (0.99992783),1.40979110,1.44728530,0.03749420,2.65955715,14.87523100,16.00916400,1.13393300,7.62296061,
C2: Min (node 46) → C2: Min (node 3048) in NEF (0.99999959),1.49204430,1.74175370,0.24970940,16.73605804,23.69287300,27.46408200,3.77120900,15.91706080,
C2: Min (node 4635) → C2: Min (node 4665) in NEF (0.99977640),1.48605580,1.12626530,-0.35979050,-24.21110297,20.17166400,13.38341800,-6.78824600,-33.65238485,
C3: Min (node 1544) → C2: Min (node 3048) in NEF (0.99999985),1.87583820,1.74175370,-0.13408450,-7.14797790,29.28094300,27.46408200,-1.81686100,-6.20492653,
C3: Min (node 2713) → C2: Min (node 19) in NEF (0.99993258),1.27998220,1.44728530,0.16730310,13.07073645,13.27084600,16.00916400,2.73831800,20.63408768,
C3: Min (node 316) → C2: Min (node 4072) in NEF (0.99999536),1.88200130,1.69865310,-0.18334820,-9.74219306,28.84206500,26.92834600,-1.91371900,-6.63516638,
